Raf	Mek	Plcg	PIP2	PIP3	Erk	Akt	PKA	PKC	P38	Jnk
1.422	1.121	0.945	1.262	1.769	0.820	1.230	2.617	1.230	1.652	1.602
1.555	1.217	1.090	1.225	0.910	1.270	1.512	2.547	0.528	1.217	1.789
1.774	1.644	1.164	1.009	1.114	1.173	1.512	2.605	1.057	1.504	1.290
1.863	1.918	1.364	1.130	0.111	0.766	1.072	2.723	1.137	1.456	1.364
1.528	1.297	0.715	0.988	1.394	1.324	1.664	2.484	0.668	1.410	1.910
1.274	0.574	1.246	1.344	1.037	1.076	1.410	2.785	1.137	1.691	1.762
1.652	1.562	1.017	2.121	1.212	0.938	1.253	2.922	1.176	1.555	1.258
1.676	1.176	1.164	1.484	1.243	1.305	1.656	2.668	0.809	1.387	1.301
2.017	1.789	1.025	1.324	1.621	1.061	1.371	2.648	1.465	1.785	1.403
1.324	1.332	0.274	2.312	1.640	1.121	2.130	2.328	1.164	1.427	2.004
1.215	1.215	1.161	1.230	1.049	1.340	1.539	2.652	1.310	1.652	1.382
1.871	1.360	0.875	1.190	1.418	1.320	1.562	2.590	1.504	1.851	1.550
1.930	1.598	0.949	1.812	1.068	0.824	1.086	2.723	1.253	1.644	2.072
1.566	1.465	0.699	0.957	1.190	1.253	1.253	2.602	1.164	1.617	2.179
1.465	1.382	1.009	1.204	1.668	0.945	0.859	2.699	0.988	1.281	0.898
1.699	1.140	1.076	1.121	1.053	1.258	1.446	2.593	1.750	1.886	0.000
1.418	1.427	1.328	1.037	1.167	0.957	1.579	1.949	1.602	1.816	0.152
1.598	1.582	1.021	1.965	1.356	1.441	1.496	2.348	1.217	1.489	0.883
1.484	1.297	0.875	2.124	1.196	1.281	1.559	2.504	1.382	1.571	1.236
1.691	1.217	1.124	2.149	1.410	1.493	1.793	2.851	1.152	1.438	1.344
1.585	0.949	1.053	1.933	1.253	1.083	1.555	2.926	1.079	1.453	1.320
1.500	1.250	1.161	1.025	0.691	1.009	1.378	2.441	1.140	1.453	1.104
1.613	1.446	0.000	2.137	1.378	1.480	1.699	2.985	0.000	1.926	0.664
1.848	1.734	1.188	1.387	1.111	0.996	1.446	2.652	1.555	1.973	1.684
1.848	1.625	1.246	1.320	1.021	1.774	1.992	3.297	1.555	1.664	1.250
1.332	0.000	0.918	2.258	1.640	1.274	1.585	2.809	1.134	1.465	0.848
1.593	1.364	1.270	1.344	1.025	1.250	1.508	2.668	1.021	1.367	0.844
1.844	1.310	1.297	1.265	0.797	1.017	1.398	2.699	1.356	1.684	1.774
1.543	1.348	1.236	1.699	1.364	1.535	1.711	2.489	1.121	1.590	2.292
1.610	1.394	1.114	1.797	1.582	0.711	1.167	2.828	1.449	1.621	1.364
1.660	1.196	1.121	1.328	0.875	1.378	1.691	3.141	1.290	1.585	1.320
1.640	1.465	1.161	1.246	1.117	0.933	1.097	2.793	1.531	1.832	1.449
1.903	1.906	0.644	2.320	1.290	1.021	1.550	2.625	1.430	1.605	1.185
1.754	1.238	1.336	1.258	1.104	0.965	1.360	2.742	1.585	1.777	1.253
1.769	1.290	0.410	1.617	0.344	1.281	1.528	2.512	1.360	1.504	1.316
1.731	1.104	1.037	1.093	1.489	1.305	1.579	2.605	1.352	1.585	1.320
1.766	1.364	1.276	1.898	1.387	1.559	1.688	2.632	1.167	1.461	1.100
2.204	1.449	0.851	2.061	1.207	0.695	1.093	3.094	0.391	1.496	1.922
1.656	0.973	1.086	1.731	1.441	0.632	1.441	2.777	1.582	1.906	2.143
1.738	1.453	0.922	0.973	1.316	1.585	1.777	2.953	1.104	1.375	1.130
1.930	1.430	1.403	1.679	1.360	1.134	1.152	2.598	0.676	0.953	1.636
