sim,method,1,2,3
0,OT-ICA,0.12539267261555168,0.26120374286035536,0.6134035845240929
0,FastICA,0.12193488458852854,0.2670701802709073,0.6109949351405642
0,Chol-min,0.013969996761289762,0.09173169480649286,0.07017452820085018
0,Chol-max,0.43361701625206345,0.6232246659713275,0.8069114252596515
1,OT-ICA,0.10699031508165008,0.2083353503149614,0.6846743346033886
1,FastICA,0.10836972253420545,0.19635316561401875,0.6952771118517758
1,Chol-min,0.012352745021962023,0.053623811674658226,0.12050343614497212
1,Chol-max,0.4534042073793055,0.5781192639241468,0.8695087664955471
2,OT-ICA,0.08112078300731274,0.3141722200687065,0.6047069969239808
2,FastICA,0.08552669941564518,0.2994787934558363,0.6149945071285186
2,Chol-min,0.0044701364667724085,0.08936864973270726,0.10436264799457634
2,Chol-max,0.3993717792186609,0.6383667491338918,0.8415226822330161
3,OT-ICA,0.14344913961761227,0.26747517840007623,0.5890756819823115
3,FastICA,0.1403306233116205,0.2696960358500659,0.5899733408383135
3,Chol-min,0.009087788716548383,0.08668717317665296,0.07754335804515682
3,Chol-max,0.4074046864336952,0.640934262488232,0.8272864527785785
4,OT-ICA,0.15135132167546952,0.263280279324184,0.5853683990003464
4,FastICA,0.1607747559200269,0.25329125872631764,0.5859339853536555
4,Chol-min,0.015221615449686914,0.06675062906231831,0.08274942514735298
4,Chol-max,0.4441241291356211,0.6091550736122231,0.8386977897625351
5,OT-ICA,0.1353614503915528,0.23448346276108073,0.6301550868473664
5,FastICA,0.15413680584180034,0.22791846701982799,0.6179447271383717
5,Chol-min,0.020854543324301374,0.07058005779685285,0.08155278323291926
5,Chol-max,0.4463692829586366,0.6053409472698251,0.8231385640640628
6,OT-ICA,0.08222802854811868,0.3224024494627327,0.5953695219891486
6,FastICA,0.09111230030061279,0.3304938392972185,0.5783938604021687
6,Chol-min,0.0018074858087192352,0.09961717518557091,0.10152433510582314
6,Chol-max,0.3507548822651626,0.6643023484406068,0.8431243837470261
7,OT-ICA,0.09526356014892132,0.21231032020852447,0.6924261196425542
7,FastICA,0.1015196343396045,0.19049004875787778,0.7079903169025177
7,Chol-min,0.013078258767119136,0.043653893866147264,0.11749724061636335
7,Chol-max,0.4553549830639207,0.5577126049053435,0.8845414222567114
8,OT-ICA,0.10606889948462345,0.19306960751077906,0.7008614930045974
8,FastICA,0.09831389217711745,0.1749980563930106,0.7266880514298719
8,Chol-min,0.009553586872197598,0.06330867419884068,0.10884852350877469
8,Chol-max,0.43216482218072005,0.5963076483946073,0.8626273119326048
9,OT-ICA,0.1127236626699962,0.2204387536650426,0.6668375836649612
9,FastICA,0.11835812308484057,0.22606140279136616,0.6555804741237933
9,Chol-min,0.005146635396854768,0.07437334218857096,0.09974182161579219
9,Chol-max,0.4018890592605495,0.6336342130458171,0.8581105184680851
10,OT-ICA,0.13388384729819916,0.2966551093880395,0.5694610433137614
10,FastICA,0.12971693331729206,0.28970083931060436,0.5805822273721036
10,Chol-min,0.015292676189607803,0.07325549418726333,0.08239196272618632
10,Chol-max,0.4261891352171639,0.6112228548671572,0.8332931336777536
11,OT-ICA,0.1208057450706263,0.209415796724889,0.6697784582044847
11,FastICA,0.11853358680650355,0.21110980035557758,0.6703566128379188
11,Chol-min,0.01084422806530042,0.057393698907464305,0.10463655350314342
11,Chol-max,0.41908418200983283,0.5928177232542481,0.8699591798381525
12,OT-ICA,0.10506375477467196,0.20754413697957094,0.687392108245757
12,FastICA,0.11783577032056568,0.20340501110169665,0.6787592185777377
12,Chol-min,0.02336675808412357,0.058521170706904845,0.08749159575013911
12,Chol-max,0.4799662942522225,0.5779612404049358,0.8339173474575009
13,OT-ICA,0.09287812535382757,0.23933534135162368,0.6677865332945487
13,FastICA,0.10247201657359135,0.22039833879820372,0.677129644628205
13,Chol-min,0.009938444782656309,0.057248865730419,0.12221530005310602
13,Chol-max,0.4075792264602522,0.5816037448127742,0.8769773050411961
14,OT-ICA,0.125857095288097,0.25479006846074514,0.6193528362511578
14,FastICA,0.13195029876653694,0.26129315269042347,0.6067565485430396
14,Chol-min,0.01316080342035801,0.07268021970908754,0.08977227856473323
14,Chol-max,0.4148862336263956,0.6177517194642175,0.8403566258057475
15,OT-ICA,0.1210612419342799,0.20989622081503606,0.6690425372506841
15,FastICA,0.11665128197371435,0.22036767065924223,0.6629810473670434
15,Chol-min,0.013853749578801092,0.058981887359088485,0.11052032835335392
15,Chol-max,0.42138428149566776,0.5747647892614148,0.8647320860762994
16,OT-ICA,0.1031924755965887,0.2861006480352784,0.6107068763681329
16,FastICA,0.10181566161120474,0.28809626124125703,0.6100880771475383
16,Chol-min,0.009923580933796411,0.07630909961394335,0.08740832120827713
